year,week,status,file_name,url
2025,44th,success,week_44.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/9182768631766058094.pdf
2025,45th,success,week_45.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/1382217141766997965.pdf
2025,46th,success,week_46.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/85622695501767589998.pdf
2025,47th,success,week_47.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/98575532841768293928.pdf
2025,48th,success,week_48.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/89531768051768972281.pdf
2025,49th,success,week_49.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/86962910081768972316.pdf
2025,50th,success,week_50.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/58225284751768980062.pdf
2025,51st,success,week_51.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/65130675251770705678.pdf
2025,52nd,success,week_52.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/24596635601770894009.pdf
2026,1st,success,week_01.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/32425736611771394393.pdf
2026,2nd,success,week_02.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/84687716011771571627.pdf
2026,3rd,success,week_03.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/24052485791772688905.pdf
2026,4th,success,week_04.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/62327898311773118282.pdf
2026,5th,success,week_05.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/61330132381773118318.pdf
2026,6th,success,week_06.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/8630356681773634091.pdf
2026,7th,success,week_07.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/97147592791774331421.pdf
2026,8th,success,week_08.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/18344585431774331453.pdf
2026,9th,success,week_09.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/12897727101776340624.pdf
2026,10th,success,week_10.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/7390466771776672948.pdf
2026,11th,success,week_11.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/1415878801777279982.pdf
2026,12th,success,week_12.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/70309395281777439071.pdf
2026,13th,success,week_13.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/17402910901778485214.pdf
2026,14th,success,week_14.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/85419232271779188483.pdf
2026,15th&nbsp;,success,week_15.pdf,https://idsp.mohfw.gov.in/WriteReadData/l892s/97194154481779188517.pdf
